freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.613e+02,2.697e+01,4.202e+01,2.303e+02
1.2,2.486e+02,1.071e+02,2.114e+02,5.671e+02
2.4,2.251e+02,1.158e+02,2.599e+02,6.008e+02
3.7,2.428e+02,1.265e+02,2.332e+02,6.026e+02
4.9,6.729e+02,1.425e+02,2.435e+02,1.059e+03
6.1,1.364e+03,1.359e+02,2.758e+02,1.775e+03
7.3,1.890e+03,1.457e+02,2.822e+02,2.318e+03
8.5,2.564e+03,1.522e+02,2.551e+02,2.972e+03
9.7,3.204e+03,1.284e+02,2.636e+02,3.596e+03
11.0,3.910e+03,1.289e+02,2.587e+02,4.298e+03
12.2,4.843e+03,1.347e+02,2.668e+02,5.245e+03
13.4,5.811e+03,1.407e+02,2.558e+02,6.208e+03
14.6,6.827e+03,1.482e+02,2.367e+02,7.212e+03
15.8,7.946e+03,1.502e+02,2.553e+02,8.352e+03
17.1,9.219e+03,1.476e+02,2.891e+02,9.655e+03
18.3,1.062e+04,1.349e+02,2.942e+02,1.105e+04
19.5,1.195e+04,1.306e+02,2.725e+02,1.236e+04
20.7,1.368e+04,1.499e+02,2.550e+02,1.409e+04
21.9,1.557e+04,1.459e+02,2.760e+02,1.599e+04
23.2,1.733e+04,1.515e+02,3.004e+02,1.778e+04
24.4,1.920e+04,1.383e+02,2.905e+02,1.963e+04
25.6,2.130e+04,1.457e+02,3.173e+02,2.176e+04
26.8,2.395e+04,1.465e+02,3.111e+02,2.441e+04
28.0,2.561e+04,1.380e+02,2.715e+02,2.602e+04
29.2,2.818e+04,1.614e+02,2.687e+02,2.861e+04
30.5,3.294e+04,2.397e+02,3.039e+02,3.348e+04
31.7,3.886e+04,3.458e+02,3.239e+02,3.953e+04
32.9,3.136e+04,3.050e+02,3.305e+02,3.199e+04
34.1,2.408e+04,2.190e+02,2.859e+02,2.458e+04
35.3,2.911e+04,2.237e+02,3.157e+02,2.965e+04
36.6,3.518e+04,2.064e+02,3.656e+02,3.575e+04
37.8,4.014e+04,1.820e+02,3.866e+02,4.071e+04
39.0,4.436e+04,1.627e+02,4.141e+02,4.494e+04
40.2,4.859e+04,1.518e+02,4.198e+02,4.916e+04
41.4,5.260e+04,1.476e+02,4.297e+02,5.318e+04
42.6,5.299e+04,1.616e+02,4.573e+02,5.361e+04
43.9,5.398e+04,1.672e+02,4.486e+02,5.459e+04
45.1,5.615e+04,1.564e+02,4.305e+02,5.673e+04
46.3,6.100e+04,1.667e+02,4.704e+02,6.164e+04
47.5,6.785e+04,1.710e+02,5.150e+02,6.853e+04
48.7,7.416e+04,1.869e+02,6.045e+02,7.495e+04
50.0,8.000e+04,1.750e+02,7.590e+02,8.093e+04
51.2,8.556e+04,1.672e+02,7.547e+02,8.648e+04
52.4,8.349e+04,1.636e+02,7.707e+02,8.442e+04
53.6,8.007e+04,1.636e+02,9.281e+02,8.116e+04
54.8,9.773e+04,1.986e+02,1.604e+03,9.953e+04
56.1,1.182e+05,6.557e+02,3.152e+03,1.220e+05
57.3,1.444e+05,3.920e+03,8.371e+03,1.567e+05
58.5,1.603e+05,1.139e+04,1.484e+04,1.865e+05
59.7,1.636e+05,1.813e+04,1.512e+04,1.969e+05
60.9,1.920e+05,1.835e+04,1.110e+04,2.215e+05
62.1,2.428e+05,1.412e+04,5.885e+03,2.628e+05
63.4,2.792e+05,8.295e+03,2.904e+03,2.904e+05
64.6,3.456e+05,5.248e+03,7.951e+03,3.588e+05
65.8,5.069e+05,3.947e+03,1.454e+04,5.254e+05
67.0,6.499e+05,2.159e+03,1.335e+04,6.654e+05
68.2,5.116e+05,1.182e+03,1.427e+04,5.270e+05
69.5,3.093e+05,2.001e+03,1.627e+04,3.276e+05
70.7,2.407e+05,4.749e+03,1.515e+04,2.606e+05
71.9,2.956e+05,9.744e+03,1.400e+04,3.193e+05
73.1,4.341e+05,1.606e+04,1.025e+04,4.604e+05
74.3,5.353e+05,1.941e+04,6.231e+03,5.609e+05
75.5,5.188e+05,1.713e+04,4.721e+03,5.407e+05
76.8,4.021e+05,1.137e+04,3.797e+03,4.173e+05
78.0,2.542e+05,6.118e+03,3.929e+03,2.643e+05
79.2,1.470e+05,3.110e+03,4.507e+03,1.546e+05
80.4,8.480e+04,1.865e+03,4.788e+03,9.146e+04
81.6,5.144e+04,1.483e+03,3.991e+03,5.692e+04
82.9,2.427e+04,8.711e+02,2.507e+03,2.765e+04
84.1,8.136e+03,1.193e+03,3.533e+03,1.286e+04
85.3,9.135e+03,5.145e+03,8.223e+03,2.250e+04
86.5,2.372e+04,1.843e+04,1.665e+04,5.880e+04
87.7,4.331e+04,4.035e+04,2.260e+04,1.063e+05
88.9,5.965e+04,6.273e+04,2.187e+04,1.442e+05
90.2,6.351e+04,7.132e+04,1.380e+04,1.486e+05
91.4,5.783e+04,5.892e+04,4.780e+03,1.215e+05
92.6,4.646e+04,4.721e+04,9.025e+03,1.027e+05
93.8,3.534e+04,4.250e+04,2.459e+04,1.024e+05
95.0,2.369e+04,2.482e+04,2.590e+04,7.440e+04
96.3,1.132e+04,8.894e+03,1.324e+04,3.345e+04
97.5,4.982e+03,2.461e+03,5.630e+03,1.307e+04
98.7,2.403e+03,9.904e+02,4.764e+03,8.157e+03
99.9,2.121e+03,1.430e+03,7.849e+03,1.140e+04
101.1,4.134e+03,1.888e+03,1.209e+04,1.811e+04
102.4,8.723e+03,2.000e+03,1.626e+04,2.698e+04
103.6,1.576e+04,1.640e+03,2.012e+04,3.752e+04
104.8,2.558e+04,1.262e+03,2.365e+04,5.049e+04
106.0,3.311e+04,1.011e+03,2.320e+04,5.732e+04
107.2,3.538e+04,8.090e+02,1.724e+04,5.342e+04
108.4,3.544e+04,7.352e+02,1.566e+04,5.183e+04
109.7,3.412e+04,7.716e+02,1.514e+04,5.003e+04
110.9,3.160e+04,7.905e+02,5.264e+03,3.766e+04
112.1,3.443e+04,8.767e+02,3.164e+03,3.847e+04
113.3,4.176e+04,1.032e+03,3.276e+03,4.607e+04
114.5,3.681e+04,9.844e+02,2.743e+03,4.054e+04
115.8,2.746e+04,7.488e+02,1.349e+03,2.955e+04
117.0,2.249e+04,5.885e+02,1.398e+03,2.447e+04
118.2,2.409e+04,6.128e+02,1.543e+03,2.625e+04
119.4,2.901e+04,6.236e+02,1.716e+03,3.135e+04
120.6,3.057e+04,6.034e+02,1.842e+03,3.302e+04
121.8,2.755e+04,5.510e+02,1.867e+03,2.996e+04
123.1,2.771e+04,4.857e+02,1.667e+03,2.987e+04
124.3,2.849e+04,4.787e+02,1.673e+03,3.064e+04
125.5,3.063e+04,5.926e+02,1.601e+03,3.283e+04
126.7,3.318e+04,7.667e+02,1.663e+03,3.561e+04
127.9,3.236e+04,9.007e+02,1.615e+03,3.487e+04
129.2,2.897e+04,1.018e+03,1.400e+03,3.139e+04
130.4,2.563e+04,1.054e+03,1.103e+03,2.778e+04
131.6,2.379e+04,1.043e+03,1.036e+03,2.587e+04
132.8,1.471e+04,6.273e+02,6.944e+02,1.604e+04
134.0,2.330e+03,1.402e+02,2.888e+02,2.759e+03
