freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.389e+01,4.710e+01,2.087e+02,2.897e+02
1.2,1.385e+02,1.499e+02,3.590e+02,6.474e+02
2.4,1.673e+02,1.863e+02,3.245e+02,6.780e+02
3.7,1.819e+02,1.967e+02,3.936e+02,7.722e+02
4.9,2.027e+02,1.956e+02,8.092e+02,1.208e+03
6.1,2.263e+02,2.024e+02,1.202e+03,1.631e+03
7.3,2.064e+02,1.978e+02,1.662e+03,2.066e+03
8.5,2.087e+02,1.750e+02,2.104e+03,2.488e+03
9.7,1.942e+02,1.844e+02,2.665e+03,3.044e+03
11.0,1.796e+02,1.914e+02,3.485e+03,3.856e+03
12.2,1.724e+02,1.969e+02,3.973e+03,4.342e+03
13.4,1.754e+02,2.132e+02,4.684e+03,5.073e+03
14.6,1.932e+02,2.257e+02,5.712e+03,6.131e+03
15.8,2.086e+02,2.288e+02,6.423e+03,6.860e+03
17.1,2.176e+02,2.370e+02,7.368e+03,7.823e+03
18.3,1.867e+02,2.418e+02,9.046e+03,9.475e+03
19.5,1.855e+02,2.331e+02,1.111e+04,1.153e+04
20.7,2.073e+02,2.879e+02,1.273e+04,1.322e+04
21.9,2.102e+02,2.789e+02,1.307e+04,1.356e+04
23.2,2.127e+02,2.496e+02,1.377e+04,1.423e+04
24.4,2.229e+02,2.534e+02,1.532e+04,1.580e+04
25.6,2.479e+02,2.408e+02,1.635e+04,1.684e+04
26.8,2.724e+02,2.344e+02,1.810e+04,1.861e+04
28.0,2.965e+02,2.404e+02,1.877e+04,1.931e+04
29.2,3.646e+02,2.717e+02,1.932e+04,1.995e+04
30.5,3.723e+02,2.757e+02,2.065e+04,2.129e+04
31.7,4.866e+02,2.497e+02,2.196e+04,2.269e+04
32.9,8.182e+02,2.521e+02,2.301e+04,2.408e+04
34.1,4.655e+02,2.615e+02,2.351e+04,2.424e+04
35.3,2.778e+02,2.710e+02,2.623e+04,2.678e+04
36.6,2.990e+02,2.732e+02,3.022e+04,3.079e+04
37.8,3.343e+02,2.888e+02,3.490e+04,3.552e+04
39.0,3.814e+02,3.785e+02,3.931e+04,4.007e+04
40.2,4.910e+02,4.638e+02,4.135e+04,4.230e+04
41.4,5.644e+02,3.065e+02,4.106e+04,4.193e+04
42.7,6.022e+02,2.435e+02,4.557e+04,4.642e+04
43.9,6.486e+02,2.520e+02,5.418e+04,5.508e+04
45.1,6.471e+02,2.261e+02,6.404e+04,6.492e+04
46.3,7.071e+02,2.431e+02,7.582e+04,7.677e+04
47.5,8.370e+02,2.982e+02,9.130e+04,9.244e+04
48.7,1.101e+03,3.429e+02,1.108e+05,1.122e+05
50.0,1.491e+03,4.161e+02,1.342e+05,1.361e+05
51.2,1.963e+03,5.146e+02,1.595e+05,1.620e+05
52.4,2.253e+03,7.685e+02,1.745e+05,1.775e+05
53.6,2.687e+03,1.285e+03,1.980e+05,2.020e+05
54.8,4.431e+03,3.376e+03,3.047e+05,3.125e+05
56.1,7.459e+03,1.140e+04,5.017e+05,5.206e+05
57.3,1.079e+04,3.152e+04,7.221e+05,7.645e+05
58.5,9.971e+03,5.869e+04,7.389e+05,8.075e+05
59.7,6.818e+03,7.647e+04,6.063e+05,6.896e+05
60.9,5.198e+03,7.597e+04,5.096e+05,5.908e+05
62.1,5.378e+03,5.732e+04,4.586e+05,5.213e+05
63.4,4.063e+03,2.715e+04,3.087e+05,3.399e+05
64.6,2.438e+03,6.803e+03,1.415e+05,1.507e+05
65.8,3.956e+03,1.577e+03,6.811e+04,7.364e+04
67.0,7.934e+03,2.266e+03,7.010e+04,8.030e+04
68.2,1.508e+04,4.197e+03,1.057e+05,1.250e+05
69.5,2.978e+04,6.783e+03,1.313e+05,1.679e+05
70.7,5.274e+04,9.776e+03,1.344e+05,1.969e+05
71.9,5.889e+04,9.373e+03,1.233e+05,1.915e+05
73.1,3.922e+04,7.431e+03,8.660e+04,1.333e+05
74.3,2.359e+04,9.330e+03,4.693e+04,7.985e+04
75.6,3.229e+04,1.602e+04,2.783e+04,7.613e+04
76.8,5.670e+04,2.034e+04,3.186e+04,1.089e+05
78.0,6.916e+04,2.709e+04,6.303e+04,1.593e+05
79.2,7.611e+04,6.037e+04,1.648e+05,3.013e+05
80.4,6.488e+04,1.079e+05,2.941e+05,4.669e+05
81.6,4.089e+04,1.372e+05,3.496e+05,5.277e+05
82.9,2.335e+04,1.481e+05,3.315e+05,5.030e+05
84.1,1.144e+04,1.530e+05,2.835e+05,4.480e+05
85.3,4.422e+03,1.573e+05,2.262e+05,3.879e+05
86.5,1.515e+03,1.689e+05,1.738e+05,3.442e+05
87.7,6.547e+02,1.831e+05,1.213e+05,3.051e+05
89.0,1.329e+03,2.137e+05,7.385e+04,2.888e+05
90.2,6.038e+03,2.591e+05,4.495e+04,3.101e+05
91.4,1.195e+04,2.373e+05,3.831e+04,2.875e+05
92.6,8.924e+03,1.613e+05,4.245e+04,2.127e+05
93.8,3.499e+03,8.895e+04,6.241e+04,1.549e+05
95.0,1.363e+03,3.496e+04,6.305e+04,9.937e+04
96.3,1.177e+03,1.680e+04,4.002e+04,5.800e+04
97.5,1.228e+03,1.295e+04,3.447e+04,4.864e+04
98.7,1.285e+03,1.070e+04,3.756e+04,4.954e+04
99.9,1.215e+03,8.789e+03,4.178e+04,5.178e+04
101.1,1.009e+03,6.988e+03,4.488e+04,5.288e+04
102.4,8.450e+02,5.564e+03,4.628e+04,5.269e+04
103.6,7.374e+02,4.685e+03,4.669e+04,5.212e+04
104.8,6.399e+02,4.078e+03,4.550e+04,5.022e+04
106.0,5.012e+02,3.332e+03,3.941e+04,4.324e+04
107.2,4.463e+02,2.421e+03,3.142e+04,3.428e+04
108.5,1.079e+03,1.742e+03,2.782e+04,3.064e+04
109.7,1.086e+03,1.307e+03,2.127e+04,2.366e+04
110.9,7.102e+02,1.050e+03,1.918e+04,2.094e+04
112.1,2.876e+02,8.291e+02,1.638e+04,1.750e+04
113.3,2.419e+02,6.230e+02,1.357e+04,1.443e+04
114.5,2.855e+02,4.922e+02,1.202e+04,1.280e+04
115.8,2.892e+02,3.449e+02,1.058e+04,1.122e+04
117.0,2.547e+02,2.617e+02,8.900e+03,9.416e+03
118.2,2.700e+02,2.279e+02,8.083e+03,8.581e+03
119.4,2.660e+02,2.115e+02,7.466e+03,7.943e+03
120.6,3.305e+02,2.184e+02,7.411e+03,7.960e+03
121.9,8.268e+02,2.218e+02,7.543e+03,8.592e+03
123.1,1.032e+03,2.405e+02,7.221e+03,8.494e+03
124.3,4.566e+02,1.877e+02,7.083e+03,7.727e+03
125.5,4.334e+02,1.608e+02,6.532e+03,7.126e+03
126.7,4.275e+02,1.590e+02,6.232e+03,6.818e+03
128.0,3.879e+02,1.688e+02,5.600e+03,6.157e+03
129.2,4.155e+02,1.960e+02,5.137e+03,5.749e+03
130.4,3.850e+02,2.207e+02,4.601e+03,5.206e+03
131.6,3.144e+02,2.114e+02,4.056e+03,4.582e+03
132.8,2.447e+02,1.726e+02,2.669e+03,3.086e+03
134.0,1.546e+02,1.376e+02,1.159e+03,1.451e+03
135.3,1.541e+02,1.236e+02,9.173e+02,1.195e+03
